id	taxonConceptID	scientificName	family	_habit
1	http://data.canadensys.net/vascan/taxon/7159	Abies balsamea (L.) Mill.	Pinaceae	tree
2	http://data.canadensys.net/vascan/taxon/7162	Abies lasiocarpa (Hook.) Nutt.	Pinaceae	tree
3	http://data.canadensys.net/vascan/taxon/9206	Acer negundo L.	Aceraceae	tree
4	http://data.canadensys.net/vascan/taxon/9207	Acer nigrum Michx. f.	Aceraceae	tree
5		Acer pensylvanicum L.	Aceraceae	tree
6	http://data.canadensys.net/vascan/taxon/9212	Acer rubrum L.	Aceraceae	tree
7	http://data.canadensys.net/vascan/taxon/9213	Acer saccharinum L.	Aceraceae	tree
8	http://data.canadensys.net/vascan/taxon/9214	Acer saccharum Marsh.	Aceraceae	tree
9	http://data.canadensys.net/vascan/taxon/9215	Acer spicatum Lam.	Aceraceae	tree
10	http://data.canadensys.net/vascan/taxon/2768	Achillea millefolium L.	Asteraceae	herb
11	http://data.canadensys.net/vascan/taxon/10240	Achillea millefolium ssp. lanulosa (Nuttall) Piper var. lanulosa	Asteraceae	herb
12	http://data.canadensys.net/vascan/taxon/2765	Achillea millefolium L. var. occidentalis DC.	Asteraceae	herb
13		Achillea sibirica Ledeb.	Asteraceae	herb
14	http://data.canadensys.net/vascan/taxon/22315	Aconogonon alaskanum (W. Wight ex Hultén) Soják var. alaskanum	Polygonaceae	herb
15	http://data.canadensys.net/vascan/taxon/2432	Acorus americanus (Raf.) Raf.	Araceae	herb
16	http://data.canadensys.net/vascan/taxon/2433	Acorus calamus L.	Araceae	herb
17	http://data.canadensys.net/vascan/taxon/8409	Actaea pachypoda Elliot	Ranunculaceae	herb
18	http://data.canadensys.net/vascan/taxon/19498	Actaea racemosa L. var. racemosa	Ranunculaceae	herb
19	http://data.canadensys.net/vascan/taxon/8412	Actaea rubra (Aiton) Willd.	Ranunculaceae	herb
20	http://data.canadensys.net/vascan/taxon/8382	Adiantum pedatum L.	Pteridaceae	herb
21	http://data.canadensys.net/vascan/taxon/6351	Agastache foeniculum (Pursh) Kuntze	Lamiaceae	herb
22	http://data.canadensys.net/vascan/taxon/8601	Agrimonia gryposepala Wallr.	Rosaceae	herb
23	http://data.canadensys.net/vascan/taxon/9398	Aletris farinosa L.	Liliaceae	herb
24	http://data.canadensys.net/vascan/taxon/9875	Alisma plantago-aquatica L.	Alismataceae	herb
25	http://data.canadensys.net/vascan/taxon/2490	Allium stellatum Fraser ex Ker Gawl.	Liliaceae	herb
26	http://data.canadensys.net/vascan/taxon/2493	Allium tricoccum Aiton	Liliaceae	herb
27	http://data.canadensys.net/vascan/taxon/3675	Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen	Betulaceae	tree
28	http://data.canadensys.net/vascan/taxon/3679	Alnus rubra Bong.	Betulaceae	tree
29	http://data.canadensys.net/vascan/taxon/803	Alnus sp.	Betulaceae	tree
30	http://data.canadensys.net/vascan/taxon/3682	Alnus viridis (Chaix) DC.	Betulaceae	tree
31	http://data.canadensys.net/vascan/taxon/3681	Alnus viridis (Chaix) DC. ssp. crispa (Aiton) Turrill	Betulaceae	tree
32		Amanita muscaria Fr.	Amanitaceae	fungi
33	http://data.canadensys.net/vascan/taxon/8617	Amelanchier alnifolia (Nutt.) Nutt ex M. Roem.	Rosaceae	shrub
34	http://data.canadensys.net/vascan/taxon/8619	Amelanchier bartramiana (Tausch) M. Roem.	Rosaceae	tree
35	http://data.canadensys.net/vascan/taxon/8620	Amelanchier canadensis (L.) Medik.	Rosaceae	tree
36	http://data.canadensys.net/vascan/taxon/8622	Amelanchier laevis Wiegand	Rosaceae	tree
37	http://data.canadensys.net/vascan/taxon/5620	Amorpha canescens Pursh	Fabaceae	shrub
38	http://data.canadensys.net/vascan/taxon/16140	Amphicarpaea bracteata (L.) var. comosa (L.) Fernald	Fabaceae	vine
39	http://data.canadensys.net/vascan/taxon/2797	Anaphalis margaritacea (L.) Benth.	Asteraceae	herb
40	http://data.canadensys.net/vascan/taxon/5486	Andromeda polifolia L. var. latifolia Aiton	Ericaceae	shrub
41	http://data.canadensys.net/vascan/taxon/7401	Androsace septentrionalis L.	Primulaceae	herb
42	http://data.canadensys.net/vascan/taxon/8349	Andropogon gerardii Vitman	Poaceae	herb
43	http://data.canadensys.net/vascan/taxon/8419	Anemone canadensis L.	Ranunculaceae	herb
44	http://data.canadensys.net/vascan/taxon/8420	Anemone cylindrica A. Gray	Ranunculaceae	herb
45	http://data.canadensys.net/vascan/taxon/8426	Anemone multifida Poir.	Ranunculaceae	herb
46	http://data.canadensys.net/vascan/taxon/822	Anemone sp.	Ranunculaceae	herb
47	http://data.canadensys.net/vascan/taxon/2813	Antennaria howellii Greene ssp. neodioica (Greene) Bayer	Asteraceae	herb
48	http://data.canadensys.net/vascan/taxon/2823	Antennaria neglecta Greene	Asteraceae	herb
49	http://data.canadensys.net/vascan/taxon/2828	Antennaria plantaginifolia (L.) Richardson	Asteraceae	herb
50	http://data.canadensys.net/vascan/taxon/2659	Apocynum androsaemifolium L.	Apocynaceae	herb
51	http://data.canadensys.net/vascan/taxon/2662	Apocynum cannabinum L.	Apocynaceae	herb
52	http://data.canadensys.net/vascan/taxon/8444	Aquilegia canadensis L.	Ranunculaceae	herb
53	http://data.canadensys.net/vascan/taxon/2683	Aralia hispida Vent.	Araliaceae	herb
54	http://data.canadensys.net/vascan/taxon/2684	Aralia nudicaulis L.	Araliaceae	herb
55	http://data.canadensys.net/vascan/taxon/2686	Aralia racemosa L.	Araliaceae	herb
56	http://data.canadensys.net/vascan/taxon/2847	Arctium lappa L.	Asteraceae	herb
57	http://data.canadensys.net/vascan/taxon/2848	Arctium minus Bernh.	Asteraceae	herb
58	http://data.canadensys.net/vascan/taxon/15868	Arctostaphylos alpina (L.) Spreng.	Ericaceae	shrub
59	http://data.canadensys.net/vascan/taxon/5492	Arctostaphylos uva-ursi (L.) Spreng.	Ericaceae	shrub
60	http://data.canadensys.net/vascan/taxon/2674	Arisaema triphyllum (L.) Schott.	Araceae	herb
61		Aristolochia serpentaria L.	Aristolochiaceae	herb
62	http://data.canadensys.net/vascan/taxon/2853	Arnica angustifolia Vahl	Asteraceae	herb
63	http://data.canadensys.net/vascan/taxon/2878	Artemisia absinthium L.	Asteraceae	herb
64	http://data.canadensys.net/vascan/taxon/2885	Artemisia campestris L.	Asteraceae	herb
65	http://data.canadensys.net/vascan/taxon/2890	Artemisia dracunculus L.	Asteraceae	herb
66	http://data.canadensys.net/vascan/taxon/2891	Artemisia frigida Willd.	Asteraceae	herb
67	http://data.canadensys.net/vascan/taxon/2902	Artemisia ludoviciana Nutt. ssp. ludoviciana	Asteraceae	herb
68	http://data.canadensys.net/vascan/taxon/2905	Artemisia norvegica ssp. saxatilis (Besser) H.M. Hall & Clements	Asteraceae	herb
69	http://data.canadensys.net/vascan/taxon/2912	Artemisia tilesii Ledeb.	Asteraceae	herb
70	http://data.canadensys.net/vascan/taxon/2698	Asarum canadense L.	Aristolochiaceae	herb
71	http://data.canadensys.net/vascan/taxon/2711	Asclepias syriaca L.	Asclepiadaceae	herb
72	http://data.canadensys.net/vascan/taxon/2713	Asclepias tuberosa L.	Asclepiadaceae	herb
73		Aspidium cristatum (L.) Sw.	Polypodiaceae	herb
74	http://data.canadensys.net/vascan/taxon/5633	Astragalus americanus (Hook.) M.E. Jones	Fabaceae	herb
75	http://data.canadensys.net/vascan/taxon/5650	Astragalus crassicarpus Nutt.	Fabaceae	herb
76	http://data.canadensys.net/vascan/taxon/5373	Athyrium filix-femina (L.) Roth	Dryopteridaceae	herb
77	http://data.canadensys.net/vascan/taxon/5698	Baptisia tinctoria (L.) R. Br.	Fabaceae	herb
78	http://data.canadensys.net/vascan/taxon/3667	Berberis vulgaris L.	Berberidaceae	shrub
79	http://data.canadensys.net/vascan/taxon/3685	Betula alleghaniensis Britton	Betulaceae	tree
80	http://data.canadensys.net/vascan/taxon/3687	Betula glandulosa Michx.	Betulaceae	shrub
81	http://data.canadensys.net/vascan/taxon/3689	Betula lenta L.	Betulaceae	tree
82	http://data.canadensys.net/vascan/taxon/3693	Betula nana L.	Betulaceae	shrub
83	http://data.canadensys.net/vascan/taxon/3692	Betula nana L. ssp. exilis (Sukaczev) Hultén	Betulaceae	shrub
84	http://data.canadensys.net/vascan/taxon/3695	Betula neoalaskana Sarg.	Betulaceae	shrub
85		Betula nigra L.	Betulaceae	tree
86	http://data.canadensys.net/vascan/taxon/3697	Betula papyrifera Marsh.	Betulaceae	tree
87	http://data.canadensys.net/vascan/taxon/3701	Betula pubescens Ehrh.	Betulaceae	tree
88	http://data.canadensys.net/vascan/taxon/3703	Betula pumila L. var. glandulifera Regel.	Betulaceae	tree
89	http://data.canadensys.net/vascan/taxon/6973	Boschniakia rossica (Cham. & Schltdl.) Fedtsch.	Orobanchaceae	herb
90	http://data.canadensys.net/vascan/taxon/3868	Botrychium virginianum (L.) Sw.	Ophioglossaceae	herb
91	http://data.canadensys.net/vascan/taxon/911	Brassica sp.	Brassicaceae	herb
92	http://data.canadensys.net/vascan/taxon/2677	Calla palustris L.	Araceae	herb
93	http://data.canadensys.net/vascan/taxon/8452	Caltha palustris L.	Ranunculaceae	herb
94		Calvatia craniiformis Schw.	Lycoperdaceae	fungi
95	http://data.canadensys.net/vascan/taxon/4171	Campanula rotundifolia L.	Campanulaceae	herb
96	http://data.canadensys.net/vascan/taxon/3943	Capsella bursa-pastoris (L.) Medik.	Brassicaceae	herb
97	http://data.canadensys.net/vascan/taxon/3951	Cardamine diphylla (Michx.) Alph. Wood	Brassicaceae	herb
98	http://data.canadensys.net/vascan/taxon/4742	Carex aquatilis Wahlenb.	Cyperaceae	herb
99	http://data.canadensys.net/vascan/taxon/2551	Carum carvi L.	Apiaceae	herb
100	http://data.canadensys.net/vascan/taxon/6235	Carya cordiformis (Wangenh.) K. Koch	Juglandaceae	tree
101	http://data.canadensys.net/vascan/taxon/6237	Carya laciniosa (Michx. f.) G. Don	Juglandaceae	tree
102	http://data.canadensys.net/vascan/taxon/6239	Carya ovata (Mill.) K. Koch	Juglandaceae	tree
103	http://data.canadensys.net/vascan/taxon/6981	Castilleja coccinea (L.) Spreng.	Scrophulariaceae	herb
104	http://data.canadensys.net/vascan/taxon/6991	Castilleja miniata Dougl. Ex Hook.	Scrophulariaceae	herb
105	http://data.canadensys.net/vascan/taxon/3670	Caulophyllum thalictroides (L.) Michx.	Berberidaceae	herb
106	http://data.canadensys.net/vascan/taxon/8587	Ceanothus americanus L.	Rhamnaceae	shrub
107	http://data.canadensys.net/vascan/taxon/8588	Ceanothus herbaceus Raf.	Rhamnaceae	shrub
108	http://data.canadensys.net/vascan/taxon/4449	Celastrus scandens L.	Celastraceae	vine
109		Cetraria islandica (L.) Ach.	Parmeliaceae	lichens
110		Chamaecyparis thyoides (L.) BSP	Cupressaceae	tree
111	http://data.canadensys.net/vascan/taxon/5504	Chamaedaphne calyculata (L.) Moench	Ericaceae	shrub
112	http://data.canadensys.net/vascan/taxon/6740	Chamerion angustifolium (L.) Holub ssp. angustifolium	Onagraceae	herb
113	http://data.canadensys.net/vascan/taxon/6744	Chamerion latifolium (L.) Holub	Onagraceae	herb
114	http://data.canadensys.net/vascan/taxon/7220	Chelone glabra L.	Scrophulariaceae	herb
115	http://data.canadensys.net/vascan/taxon/4493	Chenopodium album L.	Chenopodiaceae	herb
116	http://data.canadensys.net/vascan/taxon/14747	Chenopodium ambrosioides L.	Chenopodiaceae	herb
117	http://data.canadensys.net/vascan/taxon/5508	Chimaphila umbellata (L.) W. Bartram	Pyrolaceae	herb
118	http://data.canadensys.net/vascan/taxon/2557	Cicuta douglasii (DC.) J.M. Coult. & Rose	Apiaceae	herb
119	http://data.canadensys.net/vascan/taxon/2559	Cicuta maculata L.	Apiaceae	herb
120	http://data.canadensys.net/vascan/taxon/2988	Cirsium arvense (L.) Scop.	Asteraceae	herb
121	http://data.canadensys.net/vascan/taxon/2990	Cirsium discolor (Muhl. ex Willd.) Spreng.	Asteraceae	herb
122	http://data.canadensys.net/vascan/taxon/999	Cirsium sp.	Asteraceae	herb
123	http://data.canadensys.net/vascan/taxon/3006	Cirsium vulgare (Savi) Ten.	Asteraceae	herb
124		Cladina stellaris (Opiz) Brodo	Cladoniaceae	lichen
125		Cladina rangiferina (L.) Nyl.	Cladoniaceae	lichen
126	http://data.canadensys.net/vascan/taxon/6513	Clintonia borealis (Aiton) Raf.	Liliaceae	herb
127	http://data.canadensys.net/vascan/taxon/6514	Clintonia uniflora (Menzies ex Schult. & Schult. f.) Kunth	Liliaceae	herb
128	http://data.canadensys.net/vascan/taxon/8643	Comarum palustre L.	Rosaceae	herb
