id	vernacularName	source	language	_languageName
1	balsam fir	http://doi.org/10.1186/1746-4269-8-7	ISO 639:eng	English
1	sapin baumier	http://doi.org/10.1186/1746-4269-8-7	ISO 639:fra	French
1	pikew-ahtik	http://doi.org/10.1186/1746-4269-8-7	ISO 639:cre	Cree
1	nupukasik	http://doi.org/10.1186/1746-4269-8-7	ISO 639:cre	Cree
1	pīkowāhtik	http://doi.org/10.1186/1746-4269-8-7	ISO 639:cre	Cree
1	napakāsīt	http://doi.org/10.1186/1746-4269-8-7	ISO 639:cre	Cree
1	nāpukasītuk	http://doi.org/10.1186/1746-4269-8-7	ISO 639:cre	Cree
1	nāpukasī	http://doi.org/10.1186/1746-4269-8-7	ISO 639:cre	Cree
1	sta'kwin	http://doi.org/10.1186/1746-4269-8-7	ISO 639:pgm	Malecite
1	a'ninandak'	http://doi.org/10.1186/1746-4269-8-7	ISO 639:oje	Ojibwe
1	ini'nandŏk	http://doi.org/10.1186/1746-4269-8-7	ISO 639:oje	Ojibwe
1	ne-naig-wah-dayg	http://doi.org/10.1186/1746-4269-8-7	ISO 639:oje	Ojibwe
1	jîngo'b	http://doi.org/10.1186/1746-4269-8-7	ISO 639:oje	Ojibwe
1	kokôkwank	http://doi.org/10.1186/1746-4269-8-7	ISO 639:aaq	Abenaki
1	cigubi	http://doi.org/10.1186/1746-4269-8-7	ISO 639:atj	Atikamekw
1	irimucit	http://doi.org/10.1186/1746-4269-8-7	ISO 639:atj	Atikamekw
1	ilnasht	http://doi.org/10.1186/1746-4269-8-7	ISO 639:moe	Montagnais
1	innâsht	http://doi.org/10.1186/1746-4269-8-7	ISO 639:moe	Montagnais
2	subalpine fir	http://doi.org/10.1186/1746-4269-8-7	ISO 639:eng	English
2	sapin subalpin	http://doi.org/10.1186/1746-4269-8-7	ISO 639:fra	French
2	tsutsi	http://doi.org/10.1186/1746-4269-8-7	ISO 639:chp	Chipewyan
3	box elder	http://doi.org/10.1186/1746-4269-8-7	ISO 639:eng	English
3	érable négondo	http://doi.org/10.1186/1746-4269-8-7	ISO 639:fra	French
3	érable à Giguère	http://doi.org/10.1186/1746-4269-8-7	ISO 639:fra	French
3	adjagobi'mûk	http://doi.org/10.1186/1746-4269-8-7	ISO 639:oje	Ojibwe
4	black maple	http://doi.org/10.1186/1746-4269-8-7	ISO 639:eng	English
4	érable noir	http://doi.org/10.1186/1746-4269-8-7	ISO 639:fra	French
4	ishig'omeaush'	http://doi.org/10.1186/1746-4269-8-7	ISO 639:oje	Ojibwe
5	moosewood	http://doi.org/10.1186/1746-4269-8-7	ISO 639:eng	English
5	striped maple	http://doi.org/10.1186/1746-4269-8-7	ISO 639:eng	English
5	érable de Pennsylvanie	http://doi.org/10.1186/1746-4269-8-7	ISO 639:fra	French
5	bois barré	http://doi.org/10.1186/1746-4269-8-7	ISO 639:fra	French
5	bois d'orignal	http://doi.org/10.1186/1746-4269-8-7	ISO 639:fra	French
5	mōn'zomĭsh'	http://doi.org/10.1186/1746-4269-8-7	ISO 639:oje	Ojibwe
5	onsé'gakuk	http://doi.org/10.1186/1746-4269-8-7	ISO 639:aaq	Abenaki
6	red maple	http://doi.org/10.1186/1746-4269-8-7	ISO 639:eng	English
6	érable rouge	http://doi.org/10.1186/1746-4269-8-7	ISO 639:fra	French
6	cicigîme'wîc	http://doi.org/10.1186/1746-4269-8-7	ISO 639:oje	Ojibwe
7	silver maple	http://doi.org/10.1186/1746-4269-8-7	ISO 639:eng	English
7	soft maple	http://doi.org/10.1186/1746-4269-8-7	ISO 639:eng	English
7		http://doi.org/10.1186/1746-4269-8-7	ISO 639:eng	English
7	érable argenté	http://doi.org/10.1186/1746-4269-8-7	ISO 639:fra	French
7	innīnâ'tik	http://doi.org/10.1186/1746-4269-8-7	ISO 639:oje	Ojibwe
7	sigme-winš	http://doi.org/10.1186/1746-4269-8-7	ISO 639:oje	Ojibwe
8	sugar maple	http://doi.org/10.1186/1746-4269-8-7	ISO 639:eng	English
8	érable à sucre	http://doi.org/10.1186/1746-4269-8-7	ISO 639:fra	French
8	a'nina'tĭg	http://doi.org/10.1186/1746-4269-8-7	ISO 639:oje	Ojibwe
9	mountain maple	http://doi.org/10.1186/1746-4269-8-7	ISO 639:eng	English
9	érable à épis	http://doi.org/10.1186/1746-4269-8-7	ISO 639:fra	French
9	malsuna'u	http://doi.org/10.1186/1746-4269-8-7	ISO 639:pgm	Malecite
9	cacagobi'mûk	http://doi.org/10.1186/1746-4269-8-7	ISO 639:oje	Ojibwe
9	webanatuk	http://doi.org/10.1186/1746-4269-8-7	ISO 639:atj	Atikamekw
10	yarrow	http://doi.org/10.1186/1746-4269-8-7	ISO 639:eng	English
10	milfoil	http://doi.org/10.1186/1746-4269-8-7	ISO 639:eng	English
10	achillée millefeuille	http://doi.org/10.1186/1746-4269-8-7	ISO 639:fra	French
10	herbe à dindes	http://doi.org/10.1186/1746-4269-8-7	ISO 639:fra	French
10	wapunewusk	http://doi.org/10.1186/1746-4269-8-7	ISO 639:cre	Cree
10	wapanowask	http://doi.org/10.1186/1746-4269-8-7	ISO 639:cre	Cree
10	wapānaskiy(h)k	http://doi.org/10.1186/1746-4269-8-7	ISO 639:cre	Cree
10	astēskotawān	http://doi.org/10.1186/1746-4269-8-7	ISO 639:cre	Cree
10	astawēskōtawan	http://doi.org/10.1186/1746-4269-8-7	ISO 639:cre	Cree
10	miskigonimaski	http://doi.org/10.1186/1746-4269-8-7	ISO 639:cre	Cree
10	oskānīmaskīgī	http://doi.org/10.1186/1746-4269-8-7	ISO 639:cre	Cree
10	osgunīmasgigah	http://doi.org/10.1186/1746-4269-8-7	ISO 639:cre	Cree
10	wīpōwānīwisikwān	http://doi.org/10.1186/1746-4269-8-7	ISO 639:cre	Cree
10	kāwāpistikwānīkāpawik	http://doi.org/10.1186/1746-4269-8-7	ISO 639:cre	Cree
10	āmowask	http://doi.org/10.1186/1746-4269-8-7	ISO 639:cre	Cree
10	t'a'nchaydelgai	http://doi.org/10.1186/1746-4269-8-7	ISO 639:chp	Chipewyan
10	sa'pagol	http://doi.org/10.1186/1746-4269-8-7	ISO 639:pgm	Malecite
10	a'djidamo'wano	http://doi.org/10.1186/1746-4269-8-7	ISO 639:oje	Ojibwe
10	adjidamo'anûk	http://doi.org/10.1186/1746-4269-8-7	ISO 639:oje	Ojibwe
10	namahiba'go	http://doi.org/10.1186/1746-4269-8-7	ISO 639:aaq	Abenaki
10	teskwemaskiki	http://doi.org/10.1186/1746-4269-8-7	ISO 639:atj	Atikamekw
10	kâuâpishtukuâniâshiti tshishiteu-nîpîsha	http://doi.org/10.1186/1746-4269-8-7	ISO 639:moe	Montagnais
10	at''àn dagàii	http://doi.org/10.1186/1746-4269-8-7	ISO 639:chp	Chipewyan
11	boreal yarrow	http://doi.org/10.1186/1746-4269-8-7	ISO 639:eng	English
11	Siberian yarrow	http://doi.org/10.1186/1746-4269-8-7	ISO 639:eng	English
11	achillée laineuse	http://doi.org/10.1186/1746-4269-8-7	ISO 639:fra	French
11	at''àn dagàu	http://doi.org/10.1186/1746-4269-8-7	ISO 639:chp	Chipewyan
12	western yarrow	http://doi.org/10.1186/1746-4269-8-7	ISO 639:eng	English
12	achillée laineuse	http://doi.org/10.1186/1746-4269-8-7	ISO 639:fra	French
12	wīcipōwānīwistikwān	http://doi.org/10.1186/1746-4269-8-7	ISO 639:cre	Cree
12	kāwāpistikwānīkāpawik	http://doi.org/10.1186/1746-4269-8-7	ISO 639:cre	Cree
12	wa'bîgwûn	http://doi.org/10.1186/1746-4269-8-7	ISO 639:oje	Ojibwe
13	Siberian yarrow	http://doi.org/10.1186/1746-4269-8-7	ISO 639:eng	English
13	achillée de Sibérie	http://doi.org/10.1186/1746-4269-8-7	ISO 639:fra	French
13	wīcipōwānīwistikwān	http://doi.org/10.1186/1746-4269-8-7	ISO 639:cre	Cree
13	kāwāpistikwānīkāpawik	http://doi.org/10.1186/1746-4269-8-7	ISO 639:cre	Cree
13	āmowask	http://doi.org/10.1186/1746-4269-8-7	ISO 639:cre	Cree
14	Alaska wild rhubarb	http://doi.org/10.1186/1746-4269-8-7	ISO 639:eng	English
14	renouée d'Alaska (Fr.)ts'u gyùu	http://doi.org/10.1186/1746-4269-8-7	ISO 639:chp	Chipewyan
15	American sweetflag	http://doi.org/10.1186/1746-4269-8-7	ISO 639:eng	English
15	acore d'Amérique	http://doi.org/10.1186/1746-4269-8-7	ISO 639:fra	French
16	sweet flag	http://doi.org/10.1186/1746-4269-8-7	ISO 639:eng	English
16	acorus roseau	http://doi.org/10.1186/1746-4269-8-7	ISO 639:fra	French
16	belle-angélique	http://doi.org/10.1186/1746-4269-8-7	ISO 639:fra	French
16	wika	http://doi.org/10.1186/1746-4269-8-7	ISO 639:ciw	Chippewa
16	wachuskomechiwin	http://doi.org/10.1186/1746-4269-8-7	ISO 639:cre	Cree
16	wachuskowmiytsuwin	http://doi.org/10.1186/1746-4269-8-7	ISO 639:cre	Cree
16	wacaskōmīcowin	http://doi.org/10.1186/1746-4269-8-7	ISO 639:cre	Cree
16	wacaskwatapih	http://doi.org/10.1186/1746-4269-8-7	ISO 639:cre	Cree
16	wiy(h)kiyuw	http://doi.org/10.1186/1746-4269-8-7	ISO 639:cre	Cree
16	wihkes	http://doi.org/10.1186/1746-4269-8-7	ISO 639:cre	Cree
16	wīhkes	http://doi.org/10.1186/1746-4269-8-7	ISO 639:cre	Cree
16	wihkis	http://doi.org/10.1186/1746-4269-8-7	ISO 639:cre	Cree
16	dzëñni	http://doi.org/10.1186/1746-4269-8-7	ISO 639:chp	Chipewyan
16	kiuhu'ziwazas	http://doi.org/10.1186/1746-4269-8-7	ISO 639:pgm	Malecite
16	wiikansh	http://doi.org/10.1186/1746-4269-8-7	ISO 639:oje	Ojibwe
16	na'bûgûck	http://doi.org/10.1186/1746-4269-8-7	ISO 639:oje	Ojibwe
16	wikĕn'	http://doi.org/10.1186/1746-4269-8-7	ISO 639:oje	Ojibwe
16	na'bugûck'	http://doi.org/10.1186/1746-4269-8-7	ISO 639:oje	Ojibwe
16	môskwas'wask	http://doi.org/10.1186/1746-4269-8-7	ISO 639:aaq	Abenaki
17	white baneberry	http://doi.org/10.1186/1746-4269-8-7	ISO 639:eng	English
17	actée à gros pédicelles	http://doi.org/10.1186/1746-4269-8-7	ISO 639:fra	French
17	wapkadak	http://doi.org/10.1186/1746-4269-8-7	ISO 639:oje	Ojibwe
18	cohosh root	http://doi.org/10.1186/1746-4269-8-7	ISO 639:eng	English
18	cimicaire à grappes	http://doi.org/10.1186/1746-4269-8-7	ISO 639:fra	French
19	red baneberry	http://doi.org/10.1186/1746-4269-8-7	ISO 639:eng	English
19	actée rouge	http://doi.org/10.1186/1746-4269-8-7	ISO 639:fra	French
19	poison de couleuvre	http://doi.org/10.1186/1746-4269-8-7	ISO 639:fra	French
19	maskōminānātik	http://doi.org/10.1186/1746-4269-8-7	ISO 639:cre	Cree
19	odzī'bĭkĕns'	http://doi.org/10.1186/1746-4269-8-7	ISO 639:oje	Ojibwe
19	wi'cosidji'bĭk	http://doi.org/10.1186/1746-4269-8-7	ISO 639:oje	Ojibwe
19	wîckobidji'bîk	http://doi.org/10.1186/1746-4269-8-7	ISO 639:oje	Ojibwe
20	maidenhair fern	http://doi.org/10.1186/1746-4269-8-7	ISO 639:eng	English
20	adiante pédalé	http://doi.org/10.1186/1746-4269-8-7	ISO 639:fra	French
20	capillaire du Canada	http://doi.org/10.1186/1746-4269-8-7	ISO 639:fra	French
21	giant hyssop	http://doi.org/10.1186/1746-4269-8-7	ISO 639:eng	English
21	agastache fenouil	http://doi.org/10.1186/1746-4269-8-7	ISO 639:fra	French
21	kā-wīkīpakahk	http://doi.org/10.1186/1746-4269-8-7	ISO 639:cre	Cree
21	weza'wûnûckwûk'	http://doi.org/10.1186/1746-4269-8-7	ISO 639:oje	Ojibwe
22	agrimony	http://doi.org/10.1186/1746-4269-8-7	ISO 639:eng	English
22	aigremoine à sépales crochus	http://doi.org/10.1186/1746-4269-8-7	ISO 639:fra	French
22	saga'tîgans	http://doi.org/10.1186/1746-4269-8-7	ISO 639:oje	Ojibwe
23	unicorn root	http://doi.org/10.1186/1746-4269-8-7	ISO 639:eng	English
23	colicroot	http://doi.org/10.1186/1746-4269-8-7	ISO 639:eng	English
23	alétris farineux	http://doi.org/10.1186/1746-4269-8-7	ISO 639:fra	French
24	broad-leaved water plantain	http://doi.org/10.1186/1746-4269-8-7	ISO 639:eng	English
24	alisma commun	http://doi.org/10.1186/1746-4269-8-7	ISO 639:fra	French
24	mitīhīmaskīhkīh	http://doi.org/10.1186/1746-4269-8-7	ISO 639:cre	Cree
25	wild onion	http://doi.org/10.1186/1746-4269-8-7	ISO 639:eng	English
25	ail étoilé	http://doi.org/10.1186/1746-4269-8-7	ISO 639:fra	French
25	mûckode'cigaga'wûnj	http://doi.org/10.1186/1746-4269-8-7	ISO 639:oje	Ojibwe
26	wild leek	http://doi.org/10.1186/1746-4269-8-7	ISO 639:eng	English
26	ail des bois	http://doi.org/10.1186/1746-4269-8-7	ISO 639:fra	French
26	siga'gawûnj'	http://doi.org/10.1186/1746-4269-8-7	ISO 639:oje	Ojibwe
27	speckled alder	http://doi.org/10.1186/1746-4269-8-7	ISO 639:eng	English
27	mountain alder	http://doi.org/10.1186/1746-4269-8-7	ISO 639:eng	English
27	aulne rugueux	http://doi.org/10.1186/1746-4269-8-7	ISO 639:fra	French
27	wadûb'	http://doi.org/10.1186/1746-4269-8-7	ISO 639:oje	Ojibwe
27	wado'bîn	http://doi.org/10.1186/1746-4269-8-7	ISO 639:oje	Ojibwe
27	mithkwatō(h)spī	http://doi.org/10.1186/1746-4269-8-7	ISO 639:aaq	Abenaki
