id	_vascanTaxonID	_languageName	vernacularName
1	7159	English	balsam fir
1	7159	French	sapin baumier
1	7159	Cree	pikew-ahtik
1	7159	Cree	nupukasik
1	7159	Cree	pīkowāhtik
1	7159	Cree	napakāsīt
1	7159	Cree	nāpukasītuk
1	7159	Cree	nāpukasī
1	7159	Malecite	sta'kwin
1	7159	Ojibwa	a'ninandak'
1	7159	Ojibwa	ini'nandŏk
1	7159	Ojibwa	ne-naig-wah-dayg
1	7159	Ojibwa	jîngo'b
1	7159	Abenaki	kokôkwank
1	7159	Atikamekw	cigubi
1	7159	Atikamekw	irimucit
1	7159	Innu	ilnasht
1	7159	Innu	innâsht
2	7162	English	subalpine fir
2	7162	French	sapin subalpin
2	7162	Dene	tsutsi
3	9206	English	box elder
3	9206	French	érable négondo
3	9206	French	érable à Giguère
3	9206	Ojibwa	adjagobi'mûk
4	9207	English	black maple
4	9207	French	érable noir
4	9207	Ojibwa	ishig'omeaush'
5		English	moosewood
5		English	striped maple
5		French	érable de Pennsylvanie
5		French	bois barré
5		French	bois d'orignal
5		Ojibwa	mōn'zomĭsh'
5		Abenaki	onsé'gakuk
6	9212	English	red maple
6	9212	French	érable rouge
6	9212	Ojibwa	cicigîme'wîc
7	9213	English	silver maple
7	9213	English	soft maple
7	9213	English	
7	9213	French	érable argenté
7	9213	Ojibwa	innīnâ'tik
7	9213	Ojibwa	sigme-winš
8	9214	English	sugar maple
8	9214	French	érable à sucre
8	9214	Ojibwa	a'nina'tĭg
9	9215	English	mountain maple
9	9215	French	érable à épis
9	9215	Malecite	malsuna'u
9	9215	Ojibwa	cacagobi'mûk
9	9215	Atikamekw	webanatuk
10	2768	English	yarrow
10	2768	English	milfoil
10	2768	French	achillée millefeuille
10	2768	French	herbe à dindes
10	2768	Cree	wapunewusk
10	2768	Cree	wapanowask
10	2768	Cree	wapānaskiy(h)k
10	2768	Cree	astēskotawān
10	2768	Cree	astawēskōtawan
10	2768	Cree	miskigonimaski
10	2768	Cree	oskānīmaskīgī
10	2768	Cree	osgunīmasgigah
10	2768	Cree	wīpōwānīwisikwān
10	2768	Cree	kāwāpistikwānīkāpawik
10	2768	Cree	āmowask
10	2768	Chipewyan	t'a'nchaydelgai
10	2768	Malecite	sa'pagol
10	2768	Ojibwa	a'djidamo'wano
10	2768	Ojibwa	adjidamo'anûk
10	2768	Abenaki	namahiba'go
10	2768	Atikamekw	teskwemaskiki
10	2768	Montagnais	kâuâpishtukuâniâshiti tshishiteu-nîpîsha
10	2768	Dene	at''àn dagàii
11	10240	English	boreal yarrow
11	10240	English	Siberian yarrow
11	10240	French	achillée laineuse
11	10240	Dene	at''àn dagàu
12	2765	English	western yarrow
12	2765	French	achillée laineuse
12	2765	Cree	wīcipōwānīwistikwān
12	2765	Cree	kāwāpistikwānīkāpawik
12	2765	Ojibwa	wa'bîgwûn
13		English	Siberian yarrow
13		French	achillée de Sibérie
13		Cree	wīcipōwānīwistikwān
13		Cree	kāwāpistikwānīkāpawik
13		Cree	āmowask
14	22315	English	Alaska wild rhubarb
14	22315	Dene	renouée d'Alaska (Fr.)ts'u gyùu
15	2432	English	American sweetflag
15	2432	French	acore d'Amérique
16	2433	English	sweet flag
16	2433	French	acorus roseau
16	2433	French	belle-angélique
16	2433	Chippewa	wika
16	2433	Cree	wachuskomechiwin
16	2433	Cree	wachuskowmiytsuwin
16	2433	Cree	wacaskōmīcowin
16	2433	Cree	wacaskwatapih
16	2433	Cree	wiy(h)kiyuw
16	2433	Cree	wihkes
16	2433	Cree	wīhkes
16	2433	Cree	wihkis
16	2433	Chipewyan	dzëñni
16	2433	Malecite	kiuhu'ziwazas
16	2433	Ojibwa	wiikansh
16	2433	Ojibwa	na'bûgûck
16	2433	Ojibwa	wikĕn'
16	2433	Ojibwa	na'bugûck'
16	2433	Abenaki	môskwas'wask
17	8409	English	white baneberry
17	8409	French	actée à gros pédicelles
17	8409	Ojibwa	wapkadak
18	19498	English	cohosh root
18	19498	French	cimicaire à grappes
19	8412	English	red baneberry
19	8412	French	actée rouge
19	8412	French	poison de couleuvre
19	8412	Cree	maskōminānātik
19	8412	Ojibwa	odzī'bĭkĕns'
19	8412	Ojibwa	wi'cosidji'bĭk
19	8412	Ojibwa	wîckobidji'bîk
20	8382	English	maidenhair fern
20	8382	French	adiante pédalé
20	8382	French	capillaire du Canada
21	6351	English	giant hyssop
21	6351	French	agastache fenouil
21	6351	Cree	kā-wīkīpakahk
21	6351	Ojibwa	weza'wûnûckwûk'
22	8601	English	agrimony
22	8601	French	aigremoine à sépales crochus
22	8601	Ojibwa	saga'tîgans
23	9398	English	unicorn root
23	9398	English	colicroot
23	9398	French	alétris farineux
24	9875	English	broad-leaved water plantain
24	9875	French	alisma commun
24	9875	Cree	mitīhīmaskīhkīh
25	2490	English	wild onion
25	2490	French	ail étoilé
25	2490	Ojibwa	mûckode'cigaga'wûnj
26	2493	English	wild leek
26	2493	French	ail des bois
26	2493	Ojibwa	siga'gawûnj'
27	3675	English	speckled alder
27	3675	English	mountain alder
27	3675	French	aulne rugueux
27	3675	Ojibwa	wadûb'
27	3675	Ojibwa	wado'bîn
27	3675	Abenaki	mithkwatō(h)spī
27	3675	Abenaki	atōspī
27	3675	Abenaki	oto'pé
27	3675	Abenaki	wdopi
27	3675	Montagnais	atûshpî
28	3679	English	red alder
28	3679	French	aulne rouge
29	803	English	alder
29	803	French	aulne
30	3682	English	green alder
30	3682	Cree	atōspīah
30	3682	Cree	atōsbīah
30	3682	Cree	atōspī
30	3682	Cree	māthatōspī
30	3682	Cree	mithkwatōspi
30	3682	Cree	miskwatōspi
30	3682	Cree	mihkwatōspi
31	3681	English	green alder
31	3681	French	aulne crispé
31	3681	Chipewyan	k'áilisën
31	3681	Cree	māthatō(h)spī
31	3681	Montagnais	shakâu tshîtshue
31	3681	Dene	k'oh
32		English	fly agaric
32		French	amanite tue-mouche
33	8617	English	Saskatoon serviceberry
33	8617	English	juneberry
