id	_vascanTaxonID	_taxonMatchType	scientificName	family	_synonym	_habit	_rawMedicinalUses
1	http://data.canadensys.net/vascan/taxon/7159	single	Abies balsamea (L.) Mill.	Pinaceae		Tree	Gum: Applied over cuts, burns, impetigo, sores, scabs, abscesses, ulcers, grip, insect bites, boils, swellings, infections and cuts as a healer [44; Mi'kmaq: 60, 62; Ojibwa: 84, 87; Algonquians: 63; Algonquin: 68, 69; Atikamekw: 73; Malecite: 65; Innu: 72; Cree: 80; Dene: 17]. Used to stimulate appetite [Innu: 72] or for cough, cuts, constipation and to favour childbirth [Montagnais: 71]. Used as an antiseptic for itching or scabies [Abenaki: 67]. Used to treat sore eyes [Ojibwa: 87], or snow blindness [Cree: 80]. Boiled and drunk as a cough and cold medicine [Ojibwa: 86; Atikamekw: 73; Cree: 80]. Used as an emetic [Algonquin: 75], for menstrual irregularity, or skin problems [Cree: 95]. Burned and the fumes inhaled to treat convulsions [Ojibwa: 47]. Combined with bear grease as a hair ointment [Ojibwa: 47]. Combined with crushed bark to treat soreness of the chest resulting from cold [Algonquians: 63]. |Sap: Used internally as a remedy for gonorrhea and for cold in the chest [Ojibwa: 44], or as a cure-all drink [Dene: 13]. Used for snow blindness [Cree: 81] or to treat skin disorders, cuts, burns and bee stings [Cree: 96]. Poultice used in arthritis and muscular pain [Cree: 96]. |Branches and needles: Boiled and mixed with grease to be used against stomachache and constipation, sometimes along with Lycopodium [Montagnais: 71]. Dried and mixed with animal fat to be applied to burns [Cree: 81]. Boiled and steam used to treat flu [Dene: 13], cold and sore throat [Cree: 81]. Used as a pillow in sore throat and cough [Cree: 81]. Used for making poultices and as a source of laxative tea for women after childbirth [Algonquin: 69]. Placed upon live coals and the smoke inhaled for colds [Ojibwa: 87] or asthma [Cree: 13]. Tea from tops or combs to cure colic [Mi'kmaq: 43]. Applied to sore areas, or boiled, cooled and rubbed on chest and back to treat asthma [Cree: 81]. Pounded and put on the chest to relieve pain [Cree: 81]. |Cones: Boiled and the liquid is used as a tea to fight nausea [Montagnais: 71]. Juice used as a laxative, or buds or young cones steeped with bark of young hemlock (Tsuga canadensis) and oak (Quercus rubra) taken as a cure for diarrhoea [Malecite: 65].|Bark: General medicine [Cree: 42], part of a compound applied topically for pain relief, and another compound preparation drunk after childbirth [Cree: 13]. Tea used as a "women's medicine" [Cree: 96]. Used to prepare a decoction to induce perspiration [Ojibwa: 44] or diaphoresis [Algonquians: 63]. Dried bark with pitch blisters ground and mixed with lard to make a poultice applied to infected wounds or for arthritis [Cree: 13], or grated with other plants and the resulting powder mixed with water to make a paste applied to infections and boils [Cree: 13]. Used against anorexia and shiver [Montagnais: 71]. Infusion used for tuberculosis [Cree: 95]. Bark steeped and given in initial stages of gonorrhoea [Algonquians: 63; Malecite: 65]. Boiled and mixed with Caribou wheat (Eriophorum sp.) for cancer treatment [Dene: 17]. Poultice used to treat facial paralysis, skin disorders, cuts, burns and bee stings [Cree: 96]. '|Inner bark: Eaten to treat stomach problems [Dene: 17]. Boiled to a jelly used for treating burns [Algonquin: 75; Cree: 80], sores and swellings [Algonquians: 63] or drunk as a general tonic for cold, influenza, etc. [Algonquin: 75; Cree, Dene, Metis: 13; Dene: 17]. Used in diabetes [Cree: 82, 83].|Roots: Used for heart disease [Algonquin: 69]. Decoction taken for chest cold, pain, and backache, as an emetic and against tuberculosis [Cree: 13]. Decoction sprinkled on hot stones and steam used to ease rheumatic joints [Ojibwa: 47]. |Buds: Boiled and drunk against "inward disorders" [Cree: 78].
2	http://data.canadensys.net/vascan/taxon/7162	single	Abies lasiocarpa (Hook.) Nutt.	Pinaceae		Tree	Gum: Poultice used for backpain [Dene: 98].|
3	http://data.canadensys.net/vascan/taxon/9206	single	Acer negundo L.	Aceraceae		Tree	Inner bark: Steeped and used as an emetic [Ojibwa: 87].|
4	http://data.canadensys.net/vascan/taxon/9207	single	Acer nigrum Michx. f.	Aceraceae		Tree	Inner bark: Decoction used for diarrhoea [Ojibwa: 84].|
5		several	Acer pensylvanicum L.	Aceraceae		Tree	Medicinal tea [Algonquin: 69]. |Bark: Steeped and made into a poultice for swelling of the limbs [Algonquians: 63]. Used for gonorrhea, kidney troubles and for blood spitting [Mi'kmaq: 60]. Bark used for bronchial trouble [Abenaki: 67]. Decoction drunk as a laxative [91]. |Inner bark: Boiled and taken as an emetic [Ojibwa: 84].
6	http://data.canadensys.net/vascan/taxon/9212	single	Acer rubrum L.	Aceraceae		Tree	Bark: Tea used to wash and cure sore eyes [91, Ojibwa: 87]. |
7	http://data.canadensys.net/vascan/taxon/9213	single	Acer saccharinum L.	Aceraceae		Tree	Bark: Boiled and applied to sores [Ojibwa: 85]. Steeped and applied for chest pain [Mi'kmaq: 62]. |Inner bark: Decoction used for diarrhoea, or mixed with a Betula decoction and used as a diuretic [Ojibwa: 84].
8	http://data.canadensys.net/vascan/taxon/9214	single	Acer saccharum Marsh.	Aceraceae		Tree	Sap: Used as a tonic [55]. Used with a decoction of Caltha palustris as a cough syrup [Ojibwa: 88].|Bark: Used as a tonic or physic [91].
9	http://data.canadensys.net/vascan/taxon/9215	single	Acer spicatum Lam.	Aceraceae		Tree	Branches: Pith put into the eye to remove foreign matter, or soaked in water to make a lotion for treating sore eyes [Ojibwa: 87]. |Bark: Steeped in water and the water used to cure eyes [Malecite: 65].|Roots: Boiled and applied to wounds and abscess [Atikamekw: 73].
10	http://data.canadensys.net/vascan/taxon/2768	single	Achillea millefolium L.	Asteraceae		Herb	Whole plant: Used to stop bleeding [Dene: 13; Cree: 93]. Boiled until thick and used as a liniment [Malecite: 65]. Used for fever, cold and other respiratory disorders [Mi'kmaq: 43; Atikamekw: 73; Abenaki: 67; Algonquin: 69; Montagnais/Innu: 60, 71, 72]. Dried, mashed into a powder, and rubbed with leaves or bark on swelling, bruise, or sprain [Mi'kmaq: 43, 61]. Mixed with lard and applied to infected sores [Cree: 13]. Decoction used to treat diarrhoea [Cree: 13]. Soaking in a bath of hot water and Achillae millefolium helps treat arthritis or aching bones, and a twice-boiled decoction of the plant can be drunk after the bath [Cree: 13]. Boiled and wrapped on a sore body or used to wash the body to treat pain [Dene: 17]. Tea for cough and ulcers [Dene: 99] or stomach problems [Cree: 96]. Boiled and taken to treat diabetes [Cree: 93].|Above-ground parts: Poultice used to treat headaches including migraines, arthritis, muscular pain, sore back, or body pain [Cree: 13; 96]. Tea drunk as a painkiller [Cree: 13] as well as for sore throat, cough and cold [Cree: 96]. Decoction drunk to treat sore chest [Cree: 13]. Poultice or tea used to treat colds, headaches, to stop bleeding or to relieve a sore throat, itchiness and other skin problems [Dene: 100]. |Leaves: Dried and boiled to make a decoction to treat diabetes [Cree: 13]. Crushed and used as a snuff for headaches, or boiled and the steam inhaled and the decoction drunk, or flower and leaves are burned and the smoke inhaled [Chippewa: 47; Cree: 13; Atikamekw: 73; Algonquin: 69]. Chewed and applied to burns, cuts or bee stings [Algonquin: 68; Cree: 13]. Infusion used as a wash for pimples, mosquito bites or other skin eruptions [Chippewa: 47; Dene: 13; Chipewyan: 92]. Poultice used in skin disorders, cuts, burns and bee stings [Cree: 96]. |Roots: An ointment rubbed on sores, aching bones or swellings to relieve the pain, and a decoction of the same mix is drunk to help reduce swelling [Cree: 13]. Seeds and roots are boiled and the steam used to treat sore eyes [Cree: 13]. |Flowers: Burned (sometimes with leaves) and the smoke used to fumigate a room in which someone is sick [Dene: 13]. Florets placed on a bed of coals and smoke inhaled to break a fever [Ojibwa: 87]. Fresh flower heads chewed and applied to bee stings, cuts, sores [Cree, Metis: 13] or placed in the nostril to stop a nosebleed [Cree: 13, 93]. Decoction drunk as a spring tonic, to regain lost appetite, to treat menstrual cramps or heavy menstruation, to aid in childbirth to relieve labor pains and to stop haemorrhaging [Cree, Dene: 13]. Used to treat sinus or chest congestion [Cree: 13]. Dried flower heads boiled and the decoction used as a wash for skin rashes or sores [Cree, Metis: 13]. Dried and smoked for headache [Chipewyan: 92]. Boiled and drunk to prevent nosebleed, the liquid can also be used to soothe infected skin and sunburns, or rashes, including eczema [Dene: 99]. Poultice used in skin disorders, cuts, burns and bee stings [Cree: 96]. Boiled and drunk to treat cough or liver ailments [Dene: 98].
